"Local Site Name","State Name","County Name","City Name","CBSA Name","Latitude","Longitude","4th Max Value","4th Max DateTime"
"Otay Mesa","California","San Diego","San Diego","San Diego-Carlsbad-San Marcos, CA","32.552164","-116.937772","0.046","2014-04-29 12:00"
"San Francisco - Arkansas St.","California","San Francisco","San Francisco","San Francisco-Oakland-Fremont, CA","37.765946","-122.399044","0.052","2014-10-03 11:00"
"HAZELTON-HD, STOCKTON","California","San Joaquin","Stockton","Stockton, CA","37.950741","-121.268523","0.068","2014-08-27 11:00"
"TRACY AIRPORT","California","San Joaquin","Tracy","Stockton, CA","37.6825","-121.44056","0.076","2014-06-04 10:00"
"235 SANTA FE AVENUE, PASO ROBLES, CA","California","San Luis Obispo","El Paso de Robles (corporate name for Paso Robles)","San Luis Obispo-Paso Robles, CA","35.631629","-120.690977","0.057","2014-05-17 10:00"
"SAN LUIS OBISPO","California","San Luis Obispo","San Luis Obispo","San Luis Obispo-Paso Robles, CA","35.256577","-120.669861","0.06","2014-04-30 12:00"
"MORRO BAY POLICE DEPT STORAGE YARD","California","San Luis Obispo","Morro Bay","San Luis Obispo-Paso Robles, CA","35.36631","-120.84271","0.06","2014-05-13 10:00"
"NIPOMO REGIONAL PARK","California","San Luis Obispo","Nipomo","San Luis Obispo-Paso Robles, CA","35.03146","-120.50103","0.066","2014-05-14 11:00"
"ATASCADERO CITY FIRE DEPARTMENT","California","San Luis Obispo","Atascadero","San Luis Obispo-Paso Robles, CA","35.49158","-120.66804","0.063","2014-05-01 10:00"
"SUMMIT OF GILLIS CANYON ROAD","California","San Luis Obispo","","San Luis Obispo-Paso Robles, CA","35.64368","-120.23135","0.073","2014-02-25 00:00"
"CARRIZO PLAINS SCHOOL","California","San Luis Obispo","","San Luis Obispo-Paso Robles, CA","35.35472","-120.04019","0.068","2014-10-05 09:00"
"Redwood City","California","San Mateo","Redwood City","San Francisco-Oakland-Fremont, CA","37.482934","-122.20337","0.064","2014-05-01 10:00"
"El Capitan","California","Santa Barbara","Capitan","Santa Barbara-Santa Maria-Goleta, CA","34.46245","-120.02551","0.064","2014-05-01 10:00"
"Santa Barbara-National Guard Armory","California","Santa Barbara","Santa Barbara","Santa Barbara-Santa Maria-Goleta, CA","34.427775","-119.691218","0.064","2014-04-29 10:00"
"RELOCATED FROM ARB SITE AT 500 S. BROADWAY","California","Santa Barbara","Santa Maria","Santa Barbara-Santa Maria-Goleta, CA","34.949147","-120.43763","0.057","2014-04-29 06:00"
"Lompoc HSP","California","Santa Barbara","Lompoc","Santa Barbara-Santa Maria-Goleta, CA","34.725556","-120.427778","0.064","2014-04-30 11:00"
"Paradise Road","California","Santa Barbara","Los Padres National Forest","Santa Barbara-Santa Maria-Goleta, CA","34.54166","-119.79146","0.065","2014-05-16 09:00"
"Nojoqui","California","Santa Barbara","Gaviota","Santa Barbara-Santa Maria-Goleta, CA","34.52744","-120.1965","0.057","2014-04-28 14:00"
"Carpinteria","California","Santa Barbara","Carpinteria","Santa Barbara-Santa Maria-Goleta, CA","34.402778","-119.4575","0.066","2014-04-29 10:00"
"Los Flores Canyon #1","California","Santa Barbara","Capitan","Santa Barbara-Santa Maria-Goleta, CA","34.48974","-120.04692","0.065","2014-05-01 10:00"
"Lompoc H Street","California","Santa Barbara","Lompoc","Santa Barbara-Santa Maria-Goleta, CA","34.63782","-120.4575","0.063","2014-05-01 10:00"
"Goleta","California","Santa Barbara","Goleta","Santa Barbara-Santa Maria-Goleta, CA","34.44551","-119.8284","0.067","2014-04-30 11:00"
"Santa Ynez Airport","California","Santa Barbara","","Santa Barbara-Santa Maria-Goleta, CA","34.605819","-120.075069","0.062","2014-02-24 11:00"
"VAFB South Base","California","Santa Barbara","Vandenberg Air Force Base","Santa Barbara-Santa Maria-Goleta, CA","34.596111","-120.630278","0.065","2014-05-13 14:00"
"Gilroy - 9th St","California","Santa Clara","Gilroy","San Jose-Sunnyvale-Santa Clara, CA","36.999571","-121.574684","0.071","2014-05-15 09:00"
"San Jose - Jackson St.","California","Santa Clara","San Jose","San Jose-Sunnyvale-Santa Clara, CA","37.348497","-121.894898","0.065","2014-10-05 10:00"
"Los Gatos","California","Santa Clara","Los Gatos","San Jose-Sunnyvale-Santa Clara, CA","37.226862","-121.979675","0.069","2014-10-04 10:00"
"San Martin - Airport","California","Santa Clara","San Martin","San Jose-Sunnyvale-Santa Clara, CA","37.079379","-121.600031","0.073","2014-10-03 11:00"
"Santa Cruz 4","California","Santa Cruz","Live Oak","Santa Cruz-Watsonville, CA","36.983921","-121.989328","0.062","2014-04-30 10:00"
"Scotts Valley High School","California","Santa Cruz","Scotts Valley","Santa Cruz-Watsonville, CA","37.07206","-122.00764","0.05","2014-03-15 12:00"
"Redding - Health Dept","California","Shasta","Redding","Redding, CA","40.549577","-122.380258","0.072","2014-07-05 10:00"
"Anderson - North Street","California","Shasta","Anderson","Redding, CA","40.452913","-122.298866","0.06","2014-05-02 11:00"
"Shasta Lake - Lake Blvd","California","Shasta","Shasta Lake","Redding, CA","40.689253","-122.402194","0.057","2014-07-05 10:00"
"Lassen Volcanic National Park, Manzanita Lake Fire Station","California","Shasta","","Redding, CA","40.53999","-121.57646","0.065","2014-05-02 16:00"
"Yreka-Siskiyou Co. APCD Lab","California","Siskiyou","Yreka","","41.726892","-122.633579","0.061","2014-08-01 09:00"
"Vallejo - Tuolumne St.","California","Solano","Vallejo","Vallejo-Fairfield, CA","38.102507","-122.237976","0.064","2014-10-04 10:00"
"Fairfield - Chadbourne Rd.","California","Solano","Fairfield","Vallejo-Fairfield, CA","38.227066","-122.075624","0.063","2014-10-04 10:00"
"GROUND IN SHELTER","California","Solano","Vacaville","Vallejo-Fairfield, CA","38.358365","-121.950003","0.06","2014-07-14 09:00"
"Sebastopol","California","Sonoma","Sebastopol","Santa Rosa-Petaluma, CA","38.403765","-122.818294","0.054","2014-05-13 11:00"
"Healdsburg Municipal Airport","California","Sonoma","Healdsburg","Santa Rosa-Petaluma, CA","38.654069","-122.901857","0.058","2014-04-08 12:00"
"Modesto-14th Street","California","Stanislaus","Modesto","Modesto, CA","37.641583","-120.994622","0.081","2014-05-01 12:00"
"Turlock","California","Stanislaus","","Modesto, CA","37.487981","-120.837005","0.055","2014-03-21 11:00"
"Yuba City-Almond Street","California","Sutter","Yuba City","Yuba City, CA","39.138773","-121.618549","0.069","2014-07-07 12:00"
"LOCATED AT TELECOMMUNICATION BUILDING #1, TOP OF SOUTH BUTTE.","California","Sutter","Sutter","Yuba City, CA","39.205572","-121.820362","0.073","2014-07-08 15:00"
"OLD FIRE LOOKOUT ON TOP OF TUSCAN BUTTE.  NO PUBLIC ACCESS.","California","Tehama","","Red Bluff, CA","40.262084","-122.093857","0.076","2014-06-01 19:00"
"RED BLUFF-TEHAMA COUNTY SHERIFF'S OFFICE","California","Tehama","Red Bluff","Red Bluff, CA","40.17583","-122.23694","0.068","2014-05-31 11:00"
"Sequoia and Kings Canyon National Park, Lower Kaweah","California","Tulare","","Visalia-Porterville, CA","36.567178","-118.778995","0.085","2014-10-07 11:00"
"Sequoia and Kings Canyon National Parks, Ash Mountain","California","Tulare","","Visalia-Porterville, CA","36.48947","-118.82915","0.089","2014-07-31 15:00"
"Visalia - N. Church","California","Tulare","Visalia","Visalia-Porterville, CA","36.332179","-119.291228","0.078","2014-08-29 11:00"
"Porterville","California","Tulare","Porterville","Visalia-Porterville, CA","36.031831","-119.055018","0.058","2014-01-04 10:00"
" 251 S BARRETTA, SONORA, CA 95370","California","Tuolumne","Sonora","Phoenix Lake-Cedar Ridge, CA","37.981582","-120.379611","0.075","2014-06-04 12:00"
"THOUSAND OAKS","California","Ventura","Thousand Oaks","Oxnard-Thousand Oaks-Ventura, CA","34.208244","-118.869444","0.074","2014-10-23 10:00"
"PIRU","California","Ventura","Piru","Oxnard-Thousand Oaks-Ventura, CA","34.402846","-118.810003","0.079","2014-05-03 10:00"
"OJAI","California","Ventura","Ojai","Oxnard-Thousand Oaks-Ventura, CA","34.446571","-119.230277","0.077","2014-10-06 10:00"
"SIMI VALLEY","California","Ventura","Simi Valley","Oxnard-Thousand Oaks-Ventura, CA","34.275736","-118.684731","0.081","2014-10-06 10:00"
"EL RIO","California","Ventura","","Oxnard-Thousand Oaks-Ventura, CA","34.25324","-119.142504","0.067","2014-05-15 11:00"
"UCD CAMPUS, DAVIS","California","Yolo","","Sacramento--Arden-Arcade--Roseville, CA","38.53445","-121.7734","0.06","2014-07-14 09:00"
"Woodland-Gibson Road","California","Yolo","Woodland","Sacramento--Arden-Arcade--Roseville, CA","38.66121","-121.73269","0.066","2014-07-26 09:00"
"Welby","Colorado","Adams","Welby","Denver-Aurora, CO","39.838119","-104.94984","0.067","2014-07-07 11:00"
"Aurora East","Colorado","Arapahoe","","Denver-Aurora, CO","39.638522","-104.569335","0.067","2014-08-24 10:00"
"SOUTH BOULDER CREEK","Colorado","Boulder","Boulder","Boulder, CO","39.957212","-105.238458","0.07","2014-09-26 10:00"
"DENVER - CAMP","Colorado","Denver","Denver","Denver-Aurora, CO","39.751184","-104.987625","0.061","2014-05-04 11:00"
"La Casa","Colorado","Denver","","Denver-Aurora, CO","39.77949","-105.00518","0.066","2014-08-03 10:00"
"Chatfield State Park","Colorado","Douglas","Roxborough Park","Denver-Aurora, CO","39.534488","-105.070358","0.074","2014-07-07 09:00"
"U.S. AIR FORCE ACADEMY","Colorado","El Paso","Air Force Academy","Colorado Springs, CO","38.958341","-104.817215","0.064","2014-06-05 08:00"
"MANITOU SPRINGS","Colorado","El Paso","Manitou Springs (Manitou)","Colorado Springs, CO","38.853097","-104.901289","0.062","2014-05-04 11:00"
"Rifle-Health Dept","Colorado","Garfield","Rifle","","39.54182","-107.784125","0.061","2014-06-05 11:00"
"Gothic","Colorado","Gunnison","","","38.9564","-106.9858","0.063","2014-06-04 10:00"
"Walden - Colorado, Chandler Ranch","Colorado","Jackson","","","40.882222","-106.306111","0.059","2014-05-03 09:00"
"WELCH","Colorado","Jefferson","Lakewood","Denver-Aurora, CO","39.638781","-105.13948","0.066","2014-08-24 11:00"
"ROCKY FLATS-N","Colorado","Jefferson","","Denver-Aurora, CO","39.912799","-105.188587","0.077","2014-07-09 09:00"
"NATIONAL RENEWABLE ENERGY LABS - NREL","Colorado","Jefferson","Applewood","Denver-Aurora, CO","39.743724","-105.177989","0.076","2014-07-02 10:00"
"Aspen Park","Colorado","Jefferson","Aspen Park","Denver-Aurora, CO","39.541515","-105.29841","0.065","2014-04-23 08:00"
"","Colorado","La Plata","","Durango, CO","37.30389","-107.484167","0.064","2014-06-07 10:00"
"LOCATED IN PINE RIVER VALLEY, THE MOST DENSELY POPULATED AREA.","Colorado","La Plata","","Durango, CO","37.13678","-107.62863","0.067","2014-06-07 09:00"
"SITE IS LOCATED ON THE EASTERN RIM OF THE ANIMAS RIVER VALLEY.","Colorado","La Plata","","Durango, CO","37.10258","-107.870219","0.065","2014-05-18 10:00"
"Rocky Mountain National Park, Long's Peak","Colorado","Larimer","","Fort Collins-Loveland, CO","40.27813","-105.54564","0.069","2014-08-12 12:00"
"FORT COLLINS - WEST","Colorado","Larimer","Fort Collins","Fort Collins-Loveland, CO","40.592543","-105.141122","0.074","2014-06-20 10:00"
"Fort Collins - CSU - S. Mason","Colorado","Larimer","Fort Collins","Fort Collins-Loveland, CO","40.57747","-105.07892","0.072","2014-07-22 11:00"
"Rocky Mtn NP Collocated","Colorado","Larimer","","Fort Collins-Loveland, CO","40.2778","-105.5453","0.073","2014-07-22 13:00"
"Palisade-Water Treatment","Colorado","Mesa","Palisade","Grand Junction, CO","39.130575","-108.313835","0.062","2014-06-04 11:00"
"LAY PEAK","Colorado","Moffat","","","40.506946","-107.891109","0.062","2014-07-18 13:00"
"Cortez - Health Dept","Colorado","Montezuma","Cortez","","37.350054","-108.592334","0.062","2014-06-07 11:00"
"Mesa Verde National Park, Resource Management Area","Colorado","Montezuma","","","37.1984","-108.49046","0.065","2014-05-18 10:00"
"","Colorado","Rio Blanco","","","40.038889","-107.8475","0.062","2014-05-18 11:00"
"Rangely, Golf Course","Colorado","Rio Blanco","Rangely","","40.086944","-108.761389","0.062","2014-06-05 10:00"
"Greeley - Weld County Tower","Colorado","Weld","Greeley","Greeley, CO","40.386368","-104.73744","0.07","2014-06-25 09:00"
"Greenwich Point Park","Connecticut","Fairfield","Greenwich (Town of)","Bridgeport-Stamford-Norwalk, CT","41.003611","-73.585","0.078","2014-07-08 10:00"
"Western Conn State Univ","Connecticut","Fairfield","Danbury","Bridgeport-Stamford-Norwalk, CT","41.399167","-73.443056","0.074","2014-06-03 09:00"
"","Connecticut","Fairfield","Stratford (Town of)","Bridgeport-Stamford-Norwalk, CT","41.1525","-73.103056","0.074","2014-07-07 11:00"
"Sherwood Island Connector (see coordinates)","Connecticut","Fairfield","Westport","Bridgeport-Stamford-Norwalk, CT","41.118333","-73.336667","0.081","2014-07-07 11:00"
"McAuliffe Park","Connecticut","Hartford","East Hartford","Hartford-West Hartford-East Hartford, CT","41.784722","-72.631667","0.077","2014-06-17 12:00"
"Mohawk Mt-Cornwall","Connecticut","Litchfield","Cornwall","Torrington, CT","41.821342","-73.297257","0.066","2014-06-02 13:00"
"","Connecticut","Middlesex","Middletown","Hartford-West Hartford-East Hartford, CT","41.552222","-72.63","0.08","2014-08-27 11:00"
"Criscuolo Park-New Haven","Connecticut","New Haven","New Haven","New Haven-Milford, CT","41.3014","-72.902871","0.072","2014-05-27 12:00"
"Hammonasset State Park","Connecticut","New Haven","Madison (Town of)","New Haven-Milford, CT","41.260833","-72.55","0.069","2014-07-28 11:00"
"Fort Griswold Park","Connecticut","New London","Groton","Norwich-New London, CT","41.35362","-72.07882","0.065","2014-08-05 10:00"
"","Connecticut","Tolland","Stafford (Stafford Hollow)","Hartford-West Hartford-East Hartford, CT","41.976389","-72.388056","0.077","2014-07-08 11:00"
"Abington","Connecticut","Windham","","Willimantic, CT","41.8402","-72.01","0.067","2014-06-03 09:00"
"PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","Delaware","Kent","","Dover, DE","38.984749","-75.555185","0.066","2014-06-16 11:00"
"","Delaware","New Castle","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","39.551111","-75.730833","0.071","2014-08-27 11:00"
"OPEN FIELD","Delaware","New Castle","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","39.817222","-75.563889","0.074","2014-08-26 11:00"
"BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK","Delaware","New Castle","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","39.773889","-75.496389","0.069","2014-06-17 11:00"
"CORNER OF MLK BLVD AND JUSTISON ST, NO TRAFFIC DATA AVAILABLE","Delaware","New Castle","Wilmington","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","39.739444","-75.558056","0.068","2014-07-07 08:00"
"Seaford Shipley State Service Center","Delaware","Sussex","Seaford","Seaford, DE","38.644476","-75.612688","0.063","2014-04-11 11:00"
"SPM SITE, NEAR UD ACID RAIN/MERCURY COLLECTORS","Delaware","Sussex","Lewes","Seaford, DE","38.779196","-75.162673","0.067","2014-06-16 11:00"
"MCMILLAN  NCore-PAMS","District Of Columbia","District of Columbia","Washington","Washington-Arlington-Alexandria, DC-VA-MD-WV","38.921847","-77.013178","0.068","2014-08-05 11:00"
"Takoma Rec Center","District Of Columbia","District of Columbia","Washington","Washington-Arlington-Alexandria, DC-VA-MD-WV","38.970092","-77.016715","0.069","2014-06-04 10:00"
"LOCATED IN PAYNES PRAIRIE STATE PARK, NATURE AND WILDLIFE PRESERVE","Florida","Alachua","Micanopy","Gainesville, FL","29.544722","-82.296111","0.06","2014-05-07 10:00"
"OLUSTEE","Florida","Baker","","Jacksonville, FL","30.201111","-82.441111","0.059","2014-05-09 10:00"
"ST.ANDREWS STATE PARK, PANAMA CITY BEACH","Florida","Bay","Lower Grand Lagoon","Panama City-Lynn Haven, FL","30.130433","-85.731517","0.066","2014-05-17 11:00"
"LOCATED IN CITY PARK ADJACENT TO SOFTBALL AND SOCCER FIELDS","Florida","Brevard","Melbourne","Palm Bay-Melbourne-Titusville, FL","28.053611","-80.628611","0.059","2014-05-04 10:00"
"","Florida","Brevard","Cocoa Beach","Palm Bay-Melbourne-Titusville, FL","28.310556","-80.615556","0.063","2014-05-17 15:00"
"Vista View Park","Florida","Broward","Davie","Miami-Fort Lauderdale-Pompano Beach, FL","26.073536","-80.33845","0.058","2014-04-10 10:00"
"Pompano Highlands","Florida","Broward","Pompano Beach Highlands","Miami-Fort Lauderdale-Pompano Beach, FL","26.292025","-80.09647","0.061","2014-05-18 00:00"
"","Florida","Broward","Dania","Miami-Fort Lauderdale-Pompano Beach, FL","26.087","-80.111","0.063","2014-05-17 19:00"
"LAURAL OAKS ELEMENTARY","Florida","Collier","Naples","Naples-Marco Island, FL","26.27","-81.711","0.058","2014-05-04 11:00"
"LOCATED AT LAKE CITY'S VETERAN'S DOMICILE","Florida","Columbia","Lake City","Lake City, FL","30.178056","-82.619167","0.058","2014-05-21 10:00"
"","Florida","Duval","Jacksonville","Jacksonville, FL","30.477725","-81.587339","0.062","2014-05-21 10:00"
"","Florida","Duval","Jacksonville","Jacksonville, FL","30.261","-81.454","0.071","2014-08-22 10:00"
"","Florida","Duval","Jacksonville","Jacksonville, FL","30.378217","-81.8409","0.06","2014-04-12 10:00"
"Ellyson Industrial Park","Florida","Escambia","Ferry Pass","Pensacola-Ferry Pass-Brent, FL","30.525367","-87.20355","0.069","2014-05-05 11:00"
"","Florida","Escambia","Pensacola","Pensacola-Ferry Pass-Brent, FL","30.36805","-87.270967","0.07","2014-05-17 10:00"
"Flagler","Florida","Flagler","Bunnell","Palm Coast, FL","29.489083","-81.276833","0.063","2014-05-04 10:00"
"ARCHBOLD BIOLOGICAL STATION PROPERTY.  NORTH END OF LOOP","Florida","Highlands","Sebring","Sebring, FL","27.188889","-81.340556","0.06","2014-05-24 12:00"
"","Florida","Hillsborough","Ruskin","Tampa-St. Petersburg-Clearwater, FL","27.740033","-82.465146","0.069","2014-08-01 10:00"
"","Florida","Hillsborough","Tampa","Tampa-St. Petersburg-Clearwater, FL","27.928056","-82.454722","0.063","2014-08-01 10:00"
"","Florida","Hillsborough","Tampa","Tampa-St. Petersburg-Clearwater, FL","27.892222","-82.538611","0.064","2014-04-01 12:00"
"SYDNEY","Florida","Hillsborough","Valrico","Tampa-St. Petersburg-Clearwater, FL","27.96565","-82.2304","0.066","2014-05-22 09:00"
"SITE IS ON TRI CO AIRPORT LAND IN A RURAL AREA","Florida","Holmes","","","30.848611","-85.603889","0.06","2014-07-08 07:00"
"Indian River Lagoon","Florida","Indian River","","Sebastian-Vero Beach, FL","27.8492","-80.4554","0.064","2014-05-04 11:00"
"LOCATED BY THE LAKE NOT RESRICTED","Florida","Lake","Clermont","Orlando-Kissimmee, FL","28.525","-81.723333","0.067","2014-05-05 11:00"
"INSIDE THE ROTARY PARK MAIN BLDG","Florida","Lee","Cape Coral","Cape Coral-Fort Myers, FL","26.547861","-81.98","0.063","2014-05-16 12:00"
"THE SITE IS LOCATED AT THE BAY OAKS OPERATED BY THE LEE COUNTY","Florida","Lee","Fort Myers Beach","Cape Coral-Fort Myers, FL","26.448889","-81.939444","0.06","2014-05-04 11:00"
"Tallahassee Community College","Florida","Leon","Tallahassee","Tallahassee, FL","30.439722","-84.346389","0.059","2014-05-17 10:00"
"MICCOSUKEE GREENWAYS PARK","Florida","Leon","Tallahassee","Tallahassee, FL","30.484444","-84.199444","0.06","2014-05-22 10:00"
"Sumatra","Florida","Liberty","","","30.1103","-84.9903","0.057","2014-05-04 12:00"
"","Florida","Manatee","Palmetto","Bradenton-Sarasota-Venice, FL","27.632778","-82.546111","0.059","2014-05-18 10:00"
"G.T. BRAY PARK","Florida","Manatee","Bradenton","Bradenton-Sarasota-Venice, FL","27.480556","-82.618889","0.061","2014-05-05 09:00"
"39TH STREET SITE","Florida","Manatee","Bradenton","Bradenton-Sarasota-Venice, FL","27.449444","-82.522222","0.063","2014-03-01 11:00"
"LOCATED AT THE YMCA","Florida","Marion","Ocala","Ocala, FL","29.170278","-82.100833","0.064","2014-04-10 10:00"
"LOCATED AT THE SHERIFF'S DEPT IMPOUND","Florida","Marion","Ocala","Ocala, FL","29.1925","-82.173333","0.059","2014-07-31 09:00"
"","Florida","Martin","Stuart","Port St. Lucie, FL","27.172458","-80.240689","0.061","2014-05-17 15:00"
"","Florida","Miami-Dade","","Miami-Fort Lauderdale-Pompano Beach, FL","25.733378","-80.161806","0.061","2014-04-26 11:00"
"","Florida","Miami-Dade","Cutler Ridge","Miami-Fort Lauderdale-Pompano Beach, FL","25.586384","-80.326811","0.061","2014-04-22 08:00"
"","Florida","Okaloosa","Fort Walton Beach","Fort Walton Beach-Crestview-Destin, FL","30.426533","-86.666217","0.067","2014-05-17 10:00"
"","Florida","Orange","Orlando","Orlando-Kissimmee, FL","28.454167","-81.381389","0.062","2014-06-05 10:00"
"WINTER PARK","Florida","Orange","Winter Park","Orlando-Kissimmee, FL","28.596389","-81.3625","0.063","2014-04-01 11:00"
"OSCEOLA CO. FIRE STATION NEAR WALT DISNEY WORLD WEST GATE","Florida","Osceola","Kissimmee","Orlando-Kissimmee, FL","28.347222","-81.636667","0.064","2014-04-01 10:00"
" PALM BEACH WASTE WATER TREATMENT PLANT","Florida","Palm Beach","Royal Palm Beach","Miami-Fort Lauderdale-Pompano Beach, FL","26.730833","-80.233889","0.06","2014-05-05 09:00"
"","Florida","Palm Beach","Lantana","Miami-Fort Lauderdale-Pompano Beach, FL","26.59123","-80.060867","0.068","2014-05-18 00:00"
"LOCATED ON FDOT COMPOUND","Florida","Pasco","Dade City","Tampa-St. Petersburg-Clearwater, FL","28.331944","-82.305833","0.061","2014-05-19 11:00"
"","Florida","Pasco","Holiday","Tampa-St. Petersburg-Clearwater, FL","28.195","-82.758056","0.062","2014-03-14 12:00"
"","Florida","Pinellas","Clearwater","Tampa-St. Petersburg-Clearwater, FL","27.946389","-82.731944","0.063","2014-05-19 11:00"
"Azalea Park","Florida","Pinellas","Saint Petersburg","Tampa-St. Petersburg-Clearwater, FL","27.785866","-82.739875","0.064","2014-05-18 10:00"
"","Florida","Pinellas","Tarpon Springs","Tampa-St. Petersburg-Clearwater, FL","28.09","-82.700833","0.06","2014-04-11 10:00"
"","Florida","Polk","Lakeland","Lakeland, FL","27.939444","-82.000278","0.063","2014-05-20 10:00"
"Baptist Childrens' Home","Florida","Polk","Lakeland","Lakeland, FL","28.028889","-81.972222","0.062","2014-05-05 11:00"
"","Florida","St. Lucie","Fort Pierce","Port St. Lucie, FL","27.389079","-80.311033","0.062","2014-05-17 12:00"
"","Florida","Santa Rosa","Gulf Breeze","Pensacola-Ferry Pass-Brent, FL","30.394133","-87.008033","0.07","2014-05-17 11:00"
"","Florida","Sarasota","Sarasota","Bradenton-Sarasota-Venice, FL","27.306944","-82.570556","0.063","2014-05-06 13:00"
"COUNTY PARK","Florida","Sarasota","Sarasota","Bradenton-Sarasota-Venice, FL","27.350278","-82.48","0.063","2014-05-17 10:00"
"","Florida","Sarasota","Venice","Bradenton-Sarasota-Venice, FL","27.089194","-82.362583","0.062","2014-03-01 10:00"
"Seminole Community College","Florida","Seminole","Sanford","Orlando-Kissimmee, FL","28.746111","-81.310556","0.06","2014-05-04 11:00"
"","Florida","Volusia","Port Orange","Deltona-Daytona Beach-Ormond Beach, FL","29.108889","-80.993889","0.06","2014-04-01 10:00"
"DAYTONA BLIND SERVICES","Florida","Volusia","Daytona Beach","Deltona-Daytona Beach-Ormond Beach, FL","29.206667","-81.0525","0.062","2014-04-01 10:00"
"WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION","Florida","Wakulla","Saint Marks","Tallahassee, FL","30.0925","-84.161111","0.061","2014-04-11 09:00"
"Macon SE","Georgia","Bibb","Macon","Macon, GA","32.805408","-83.543521","0.065","2014-08-15 11:00"
"Savannah-E. President Street","Georgia","Chatham","Savannah","Savannah, GA","32.06923","-81.048769","0.057","2014-05-23 10:00"
"Summerville-DNR Fish Hatchery","Georgia","Chattooga","Summerville","Summerville, GA","34.474293","-85.408003","0.06","2014-04-24 09:00"
"FIRE STATION # 7","Georgia","Clarke","Athens-Clarke County (Remainder)","Athens-Clarke County, GA","33.918067","-83.344495","0.063","2014-05-21 11:00"
"Kennesaw-National Guard","Georgia","Cobb","Kennesaw","Atlanta-Sandy Springs-Marietta, GA","34.015482","-84.607407","0.066","2014-09-17 09:00"
"Evans-Riverside Park","Georgia","Columbia","Evans","Augusta-Richmond County, GA-SC","33.582144","-82.131189","0.062","2014-05-05 10:00"
"Newnan","Georgia","Coweta","","Atlanta-Sandy Springs-Marietta, GA","33.40404","-84.745988","0.067","2014-08-05 11:00"
"Dawsonville, Georgia Forestry Commission","Georgia","Dawson","","Atlanta-Sandy Springs-Marietta, GA","34.376317","-84.059766","0.066","2014-04-12 11:00"
"South DeKalb","Georgia","DeKalb","","Atlanta-Sandy Springs-Marietta, GA","33.68797","-84.29048","0.07","2014-06-19 10:00"
"W. Strickland Street","Georgia","Douglas","Douglasville","Atlanta-Sandy Springs-Marietta, GA","33.743656","-84.779192","0.065","2014-04-21 11:00"
"Confederate Avenue","Georgia","Fulton","Atlanta","Atlanta-Sandy Springs-Marietta, GA","33.720192","-84.357056","0.073","2014-06-17 11:00"
"Risley Middle School","Georgia","Glynn","Brunswick","Brunswick, GA","31.169735","-81.495881","0.057","2014-05-07 10:00"
"GWINNETT TECH","Georgia","Gwinnett","","Atlanta-Sandy Springs-Marietta, GA","33.96127","-84.06901","0.068","2014-08-28 11:00"
"McDonough-County Extension Office","Georgia","Henry","McDonough","Atlanta-Sandy Springs-Marietta, GA","33.433575","-84.161708","0.075","2014-06-19 13:00"
"Fort Mountain","Georgia","Murray","Chatsworth","Dalton, GA","34.785197","-84.626422","0.067","2014-04-26 17:00"
"Columbus-Airport","Georgia","Muscogee","Columbus (Remainder)","Columbus, GA-AL","32.521302","-84.944795","0.061","2014-03-01 13:00"
"Yorkville, King Farm","Georgia","Paulding","","Atlanta-Sandy Springs-Marietta, GA","33.9285","-85.04534","0.059","2014-04-20 10:00"
"Georgia Station","Georgia","Pike","","Atlanta-Sandy Springs-Marietta, GA","33.1787","-84.4052","0.066","2014-08-05 11:00"
"Bungalow Road","Georgia","Richmond","Augusta-Richmond County (Remainder)","Augusta-Richmond County, GA-SC","33.433349","-82.022217","0.061","2014-06-20 11:00"
"Monastery","Georgia","Rockdale","Conyers","Atlanta-Sandy Springs-Marietta, GA","33.591077","-84.065294","0.079","2014-06-19 12:00"
"Leslie-Union High School","Georgia","Sumter","Leslie (RR name Leslie-DeSoto)","Americus, GA","31.954298","-84.081059","0.059","2014-04-24 11:00"
"KAPOLEI","Hawaii","Honolulu","","Honolulu, HI","21.323745","-158.088613","0.046","2014-05-01 06:00"
"SAND ISLAND","Hawaii","Honolulu","Honolulu","Honolulu, HI","21.303382","-157.871171","0.057","2014-03-16 00:00"
"St. Luke's Meridian","Idaho","Ada","","Boise City-Nampa, ID","43.600699","-116.347853","0.062","2014-08-10 11:00"
"SAMPLER LOCATED ON SCHOOL ROOF-TOP IN SUBURBAN MOSTLY RESDNT'L AREA","Idaho","Ada","Boise (corporate name Boise City)","Boise City-Nampa, ID","43.577603","-116.178156","0.065","2014-06-04 12:00"
"Craters of the Moon National Monument, Visitor Center","Idaho","Butte","","","43.460556","-113.562222","0.062","2014-07-18 16:00"
"JOHN WOOD COMMUNITY COLLEGE","Illinois","Adams","Quincy","Quincy, IL-MO","39.915409","-91.335868","0.061","2014-05-23 10:00"
