"Local Site Name","State Name","County Name","City Name","CBSA Name","Latitude","Longitude","4th Max Value","4th Max DateTime"
"Fort McDowell/Yuma Frank","Arizona","Maricopa","Fort McDowell","Phoenix-Mesa-Scottsdale, AZ","33.629246","-111.676928","0.062","2014-04-16 10:00"
"St Johns Air Monitoring Site","Arizona","Maricopa","","Phoenix-Mesa-Scottsdale, AZ","33.290229","-112.160597","0.069","2014-08-29 11:00"
"Senior Center Air Monitoring Station","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.488242","-111.855654","0.073","2014-06-09 11:00"
"Red Mountain Air Monitoring Station","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.507992","-111.755334","0.08","2014-08-14 10:00"
"Lehi Air Monitoring Station","Arizona","Maricopa","Mesa","Phoenix-Mesa-Scottsdale, AZ","33.474609","-111.805769","0.076","2014-06-09 11:00"
"High School Air Monitoring Station","Arizona","Maricopa","Scottsdale","Phoenix-Mesa-Scottsdale, AZ","33.508125","-111.83852","0.071","2014-06-03 10:00"
"HUMBOLDT MOUNTAIN","Arizona","Maricopa","","Phoenix-Mesa-Scottsdale, AZ","33.9828","-111.7987","0.074","2014-04-17 16:00"
"BLUE POINT-SHERIFF STATION-TONTO NF-SALT RIVER RECREATION AREA","Arizona","Maricopa","Blue Point (District)","Phoenix-Mesa-Scottsdale, AZ","33.54549","-111.60925","0.074","2014-06-05 12:00"
"FOUNTAIN HILLS","Arizona","Maricopa","Fountain Hills","Phoenix-Mesa-Scottsdale, AZ","33.61103","-111.72529","0.068","2014-06-05 11:00"
"RIO VERDE","Arizona","Maricopa","Rio Verde","Phoenix-Mesa-Scottsdale, AZ","33.71881","-111.67183","0.073","2014-05-17 11:00"
"JLG SUPERSITE","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","33.503833","-112.095767","0.071","2014-06-09 10:00"
"Petrified Forest National Park, South Entrance","Arizona","Navajo","","Show Low, AZ","34.82251","-109.89249","0.068","2014-05-17 11:00"
"SAGUARO PARK","Arizona","Pima","","Tucson, AZ","32.174538","-110.737116","0.069","2014-05-17 09:00"
"22ND & CRAYCROFT","Arizona","Pima","Tucson","Tucson, AZ","32.204411","-110.878067","0.062","2014-07-28 10:00"
"TANGERINE","Arizona","Pima","Marana","Tucson, AZ","32.425261","-111.06352","0.065","2014-06-09 13:00"
"FAIRGROUNDS","Arizona","Pima","Tucson","Tucson, AZ","32.04767","-110.774357","0.063","2014-05-17 10:00"
"CHILDREN'S PARK NCore","Arizona","Pima","Tucson","Tucson, AZ","32.29515","-110.9823","0.066","2014-05-27 10:00"
"GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA","Arizona","Pima","Green Valley","Tucson, AZ","31.87952","-110.99644","0.065","2014-05-16 09:00"
"ROSE ELEMENTARY","Arizona","Pima","Tucson","Tucson, AZ","32.173","-110.980115","0.061","2014-04-14 10:00"
"COACHLINE","Arizona","Pima","Marana","Tucson, AZ","32.38082","-111.12716","0.062","2014-04-29 11:00"
"A J MAINTENANCE YARD","Arizona","Pinal","Apache Junction","Phoenix-Mesa-Scottsdale, AZ","33.4214","-111.5436","0.066","2014-05-27 11:00"
"CASA GRANDE AIRPORT","Arizona","Pinal","Casa Grande","Phoenix-Mesa-Scottsdale, AZ","32.954361","-111.76225","0.065","2014-04-30 11:00"
"PINAL AIR PARK","Arizona","Pinal","Red Rock","Phoenix-Mesa-Scottsdale, AZ","32.508306","-111.308056","0.065","2014-04-30 11:00"
"Sacaton Air Monitoring Site","Arizona","Pinal","Sacaton","Phoenix-Mesa-Scottsdale, AZ","33.080087","-111.739999","0.066","2014-06-07 10:00"
"QUEEN VALLEY","Arizona","Pinal","Queen Valley","Phoenix-Mesa-Scottsdale, AZ","33.293465","-111.285594","0.068","2014-06-05 14:00"
"PRESCOTT COLLEGE AQD","Arizona","Yavapai","Prescott","Prescott, AZ","34.5467","-112.4761","0.077","2014-06-07 09:00"
"YUMA SUPERSITE","Arizona","Yuma","Yuma","Yuma, AZ","32.690278","-114.61444","0.078","2014-06-07 11:00"
"Caddo Valley","Arkansas","Clark","","Arkadelphia, AR","34.1795","-93.0988","0.059","2014-05-03 10:00"
"MARION","Arkansas","Crittenden","Marion","Memphis, TN-MS-AR","35.197288","-90.193141","0.067","2014-07-05 10:00"
"DEER","Arkansas","Newton","","Harrison, AR","35.832726","-93.20826","0.063","2014-08-04 23:00"
"EAGLE MOUNTAIN","Arkansas","Polk","Mena","","34.454406","-94.143316","0.065","2014-05-05 15:00"
"PARR","Arkansas","Pulaski","North Little Rock","Little Rock-North Little Rock-Conway, AR","34.756189","-92.281296","0.066","2014-08-03 11:00"
"NLR AIRPORT","Arkansas","Pulaski","North Little Rock","Little Rock-North Little Rock-Conway, AR","34.835721","-92.260581","0.065","2014-05-05 10:00"
"DOYLE SPRINGS ROAD","Arkansas","Pulaski","Little Rock","Little Rock-North Little Rock-Conway, AR","34.681343","-92.328697","0.065","2014-08-05 09:00"
"SPRINGDALE","Arkansas","Washington","Springdale","Fayetteville-Springdale-Rogers, AR-MO","36.1797","-94.116827","0.061","2014-05-03 09:00"
"Fayetteville Airport","Arkansas","Washington","Fayetteville","Fayetteville-Springdale-Rogers, AR-MO","36.011703","-94.167436","0.064","2014-04-23 13:00"
"Livermore - Rincon","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","37.687526","-121.784217","0.076","2014-04-30 11:00"
"Oakland East","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","37.743065","-122.169935","0.057","2014-05-14 11:00"
"Oakland West","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","37.814781","-122.282347","0.051","2014-05-01 12:00"
"Hayward - La Mesa","California","Alameda","Hayward","San Francisco-Oakland-Fremont, CA","37.654456","-122.031547","0.072","2014-05-01 10:00"
" 201 CLINTON ROAD, JACKSON","California","Amador","Jackson","","38.339905","-120.763515","0.072","2014-07-08 12:00"
"TEMPORARY STATION FOR SPECIAL STUDY OF O3 TRANSPORT","California","Butte","","Chico, CA","39.714041","-121.618836","0.074","2014-05-31 14:00"
